iter	Passed	Remaining
0	53	53164
1	53	26807
2	54	18015
3	54	13617
4	55	10968
5	55	9197
6	55	7938
7	56	6987
8	56	6252
9	57	5670
10	57	5189
11	58	4785
12	58	4443
13	58	4149
14	59	3894
15	59	3676
16	60	3478
17	60	3304
18	60	3147
19	61	3008
20	61	2881
21	62	2767
22	62	2662
23	63	2564
24	63	2476
25	63	2394
26	64	2319
27	64	2248
28	65	2180
29	65	2120
30	65	2061
31	66	2006
32	66	1956
33	67	1907
34	67	1859
35	67	1816
36	68	1775
37	68	1737
38	69	1701
39	69	1666
40	69	1634
41	70	1603
42	70	1573
43	71	1543
44	71	1516
45	71	1491
46	72	1466
47	72	1442
48	73	1419
49	73	1397
50	73	1375
51	74	1354
52	74	1334
53	75	1315
54	75	1296
55	75	1278
56	76	1261
57	76	1246
58	77	1229
59	77	1215
60	77	1199
61	78	1184
62	78	1171
63	79	1157
64	79	1144
65	80	1132
66	80	1120
67	80	1108
68	81	1095
69	81	1084
70	81	1072
71	82	1061
72	82	1050
73	83	1040
74	83	1029
75	83	1019
76	84	1010
77	84	1000
78	84	990
79	85	982
80	86	976
81	86	971
82	87	961
83	87	953
84	87	945
85	88	938
86	88	930
87	89	924
88	89	916
89	89	909
90	90	902
91	90	895
92	91	888
93	91	881
94	91	875
95	92	868
96	92	862
97	93	857
98	93	850
99	93	844
100	94	839
101	94	833
102	95	827
103	95	822
104	95	817
105	96	812
106	96	807
107	97	802
108	97	797
109	97	792
110	98	788
111	98	784
112	99	780
113	99	776
114	100	771
115	100	766
116	100	761
117	101	757
118	101	753
119	102	749
120	102	745
121	102	740
122	103	737
123	103	733
124	104	729
125	104	725
126	104	721
127	105	717
128	105	714
129	106	710
130	106	707
131	106	703
132	107	699
133	107	696
134	108	693
135	108	689
136	108	686
137	109	682
138	109	679
139	110	676
140	110	673
141	110	669
142	111	666
143	111	663
144	111	660
145	112	657
146	112	653
147	113	650
148	113	647
149	113	645
150	114	642
151	114	639
152	114	636
153	115	633
154	115	630
155	116	627
156	116	625
157	116	622
158	117	620
159	117	618
160	117	614
161	118	611
162	118	609
163	119	607
164	119	605
165	120	603
166	120	600
167	120	598
168	121	596
169	121	593
170	122	591
171	122	588
172	122	586
173	123	584
174	123	582
175	123	580
176	124	578
177	124	576
178	125	573
179	125	571
180	125	569
181	126	567
182	126	565
183	127	563
184	127	561
185	127	559
186	128	558
187	128	556
188	129	554
189	129	552
190	129	550
191	130	548
192	130	546
193	131	545
194	131	543
195	132	541
196	132	539
197	132	538
198	133	536
199	133	534
200	133	532
201	134	530
202	134	529
203	135	527
204	135	526
205	136	524
206	136	522
207	137	521
208	137	519
209	137	518
210	138	516
211	138	515
212	138	513
213	139	511
214	139	510
215	140	508
216	140	507
217	140	505
218	141	504
219	141	502
220	142	500
221	142	499
222	142	497
223	143	496
224	143	494
225	144	493
226	144	491
227	144	490
228	145	489
229	145	487
230	146	486
231	146	484
232	146	483
233	147	481
234	147	480
235	148	479
236	148	478
237	148	476
238	149	475
239	149	473
240	149	472
241	150	471
242	150	469
243	151	468
244	151	467
245	152	465
246	152	464
247	152	463
248	153	461
249	153	460
250	153	459
251	154	458
252	154	456
253	155	455
254	155	454
255	155	453
256	156	452
257	156	450
258	157	450
259	157	448
260	158	447
261	158	446
262	158	445
263	159	444
264	159	443
265	160	442
266	160	441
267	160	439
268	161	438
269	161	437
270	162	436
271	162	435
272	163	434
273	163	433
274	163	432
275	164	431
276	164	430
277	165	429
278	166	429
279	166	427
280	166	426
281	167	425
282	167	424
283	167	422
284	167	421
285	168	420
286	168	418
287	168	417
288	169	416
289	169	415
290	169	414
291	170	412
292	170	411
293	170	410
294	171	409
295	171	408
296	171	406
297	172	406
298	172	405
299	173	404
300	173	402
301	173	401
302	174	400
303	174	399
304	174	398
305	175	397
306	175	396
307	175	395
308	176	394
309	176	393
310	177	392
311	177	391
312	177	390
313	178	389
314	178	388
315	178	387
316	179	386
317	179	385
318	179	384
319	180	383
320	180	382
321	181	381
322	181	380
323	181	378
324	181	377
325	182	376
326	182	375
327	182	374
328	183	373
329	183	372
330	183	371
331	184	370
332	184	369
333	184	368
334	185	367
335	185	366
336	185	365
337	185	364
338	186	363
339	186	362
340	187	361
341	187	360
342	188	360
343	188	359
344	188	358
345	189	357
346	189	356
347	189	355
348	190	354
349	190	353
350	190	352
351	190	351
352	191	350
353	191	349
354	191	348
355	192	347
356	192	347
357	193	346
358	193	345
359	194	345
360	194	344
361	194	343
362	195	342
363	195	341
364	195	340
365	196	339
366	196	339
367	196	338
368	197	337
369	197	336
370	197	335
371	198	334
372	198	333
373	198	332
374	199	331
375	199	330
376	199	330
377	200	329
378	200	328
379	200	327
380	201	326
381	201	325
382	201	325
383	202	324
384	202	323
385	203	323
386	203	322
387	203	321
388	204	320
389	204	319
390	204	318
391	205	318
392	205	317
393	205	316
394	206	315
395	206	314
396	206	313
397	207	313
